id	link	headline	p1	pub_date	text_date
1	http://www.breitbart.com/big-government/2017/09/19/trump-threatens-totally-destroy-north-korea-rocket-man-suicide-mission/?utm_source=facebook&utm_medium=social	In U.N. Speech, Trump Threatens to â€˜Totally Destroyâ€™ North Korea: â€˜Rocket Man Is on a Suicide Missionâ€™	UNITED NATIONS â€” President Trump gave his starkest warning yet to the North Korean regime Tuesday, telling the United Nations General Assembly that the U.S. is prepared toÂ destroy the rogue regime if forced to defend itself.	2017-09-19	2017-09-19
2	http://www.breitbart.com/big-government/2017/09/19/trump-blasts-socialism-at-u-n-failed-ideology-that-causes-poverty-and-misery-everywhere/?utm_source=facebook&utm_medium=social	Trump Blasts Socialism at UN: â€˜Failed Ideologyâ€™ that Causes â€˜Poverty and Misery Everywhereâ€™	President Donald Trump took aim at socialism and left-wing ideology during his speech at the United Nations â€“ specifically in the context of Venezuela, a socialist state currently experiencing the worst humanitarian crisis in its history.	2017-09-19	2017-09-19
3	http://www.breitbart.com/jerusalem/2017/09/19/u-s-dedicates-first-american-military-base-israel/?utm_source=facebook&utm_medium=social	WATCH: U.S. Dedicates First American Military Base in Israel	Haaretz reports: The first permanent U.S. military base in Israel was dedicated on Monday. A few dozen American soldiers will live and work on the base, situated inside the school of the Aerial Defense Division of the Israel Air Force, in the Negev. High-ranking U.S. officers attended the dedication ceremony.	2017-09-19	2017-09-19
4	http://www.breitbart.com/big-government/2017/09/19/convicted-rapist-launches-into-temper-tantrum-during-deportation/?utm_source=facebook&utm_medium=social	Convicted Rapist Launches into Temper Tantrum During Deportation	An African national convicted of rape and ordered deported, threw a fit as ICE officials tried to load him onto a plane for Togo, Africa.	2017-09-19	2017-09-19
5	http://www.breitbart.com/big-hollywood/2017/09/19/actor-rob-reiner-launches-committee-investigate-russia/?utm_source=facebook&utm_medium=social	Actor Rob Reiner Launches Committee to Investigate Russia	Hollywood actor-director Rob Reiner teamed with Atlantic senior editor David Frum, Obama-era government officials, and vocal Donald Trump critics to launch an initiative Tuesday intended to help uncover the extent of Russiaâ€™s interference in the 2016 presidential election.	2017-09-19	2017-09-19
6	http://www.breitbart.com/big-government/2017/09/18/tea-party-patriots-pass-graham-cassidy-set-america-on-path-to-fully-repeal-obamacare/?utm_source=facebook&utm_medium=social	Tea Party Patriots: â€˜Pass Graham-Cassidy,â€™ Set America on Path to â€˜Fully Repeal Obamacareâ€™	Tea Party Patriots president Jenny Beth Martin released a statement on Monday endorsing the Graham-Cassidy Obamacare repeal bill and argued that we should â€œset our country on a path to fully repeal Obamacare, and restore freedom, choice and affordability to our health care system.â€	2017-09-18	2017-09-18
7	http://www.breitbart.com/video/2017/09/18/fmr-obama-spox-hillarys-book-really-distracts-attention-from-democrats-trying-to-rebuild-the-party/?utm_source=facebook&utm_medium=social	Fmr Obama Spox: Hillaryâ€™s Book â€˜Really Distractsâ€™ Attention from Democrats Trying to â€˜Rebuild the Partyâ€™	On Mondayâ€™s broadcast of CNNâ€™s â€œThe Lead,â€ CNN Political Commentator and former Obama White House Communications Director Jen Psaki argued that Hillary Clintonâ€™s book tour distracts from efforts to rebuild the Democratic Party.	2017-09-18	2017-09-18
8	http://www.breitbart.com/big-government/2017/09/18/hill-new-gop-obamacare-repeal-bill-gains-momentum/?utm_source=facebook&utm_medium=social	The Hill: New GOP ObamaCare Repeal Bill Gains Momentum	An article appearing in The Hill points out that the Graham-Cassidy Obamacare repeal bill engineered by former Pennsylvania Senator Rick Santorum and a broad coalition of Republicans in both the House and Senate, along with several governors, is gaining traction in the Senate:	2017-09-18	2017-09-18
9	http://www.breitbart.com/california/2017/09/18/jerry-brown-compares-trump-supporters-cave-dwellers-climate-change-meeting/?utm_source=facebook&utm_medium=social	Jerry Brown Compares Trump Supporters to Cave-dwellers at NY Climate Change Meeting	California Gov. Jerry Brown compared Trump supporters to cave-dwellers as he addressed a climate change event in New York on Monday.	2017-09-18	2017-09-18
10	http://www.breitbart.com/big-government/2017/09/18/kellogg-brown-university-offer-segregated-dinners-black-muslim-students/?utm_source=facebook&utm_medium=social	Kellogg and Brown University to Offer Segregated Dinners for Black, Muslim Students	Liberal Brown University is set to offer segregated dinners for black and Muslim students on the tail of recent Antifa protests that have turned violent over the last few months.	2017-09-18	2017-09-18
